Quantile,Open,High,Low,Close,Adj Close,Volume
1,17.72439055144787,17.8286249935627,17.57882811129093,17.69973422586918,16.894641414284706,69523.4375
2,17.63079361688523,17.77153976379879,17.49858730558365,17.651587228926402,16.943300292605446,111374.60317460318
3,17.122920717511857,17.25909523736863,16.918920486692397,17.078968229747954,16.42673758854942,167992.0634920635
4,15.660619009108771,15.89520630003914,15.434158703637502,15.682698431469145,15.089720771426247,324239.68253968254
